MsgID.LOCAL_VELOCITY,161.3750000,0.0003673,-0.0000835,0.0000144
MsgID.GLOBAL_POSITION,0.0000000,-122.3976936,37.7937036,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,161.6250000,135.7875977,-21.3192921,-0.0794567
MsgID.LOCAL_VELOCITY,161.6250000,0.0003897,-0.0000907,0.0000050
MsgID.GLOBAL_POSITION,0.0000000,-122.3976931,37.7937025,0.0790000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,161.8760000,136.0086517,-21.2780972,-0.0730698
MsgID.LOCAL_VELOCITY,161.8760000,0.0003629,-0.0000528,0.0000411
MsgID.GLOBAL_POSITION,0.0000000,-122.3976926,37.7937045,0.0730000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,162.1260000,136.0524750,-21.2391281,-0.0642790
MsgID.LOCAL_VELOCITY,162.1260000,0.0003680,-0.0000791,0.0000156
MsgID.GLOBAL_POSITION,0.0000000,-122.3976922,37.7937049,0.0640000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,162.3760000,136.0167847,-21.3981285,-0.0542881
MsgID.LOCAL_VELOCITY,162.3760000,0.0002666,0.0005740,0.0000625
MsgID.GLOBAL_POSITION,0.0000000,-122.3976940,37.7937046,0.0540000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,162.6260000,135.8260040,-21.3775349,-0.0469855
MsgID.LOCAL_VELOCITY,162.6260000,0.0003769,-0.0000822,0.0000200
MsgID.GLOBAL_POSITION,0.0000000,-122.3976938,37.7937029,0.0460000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,162.8820000,135.8022461,-21.3705425,-0.0457792
MsgID.LOCAL_VELOCITY,162.8820000,0.0003549,-0.0000833,0.0000123
MsgID.GLOBAL_POSITION,0.0000000,-122.3976937,37.7937026,0.0450000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,163.1320000,135.9122314,-21.3239994,-0.0528681
MsgID.LOCAL_VELOCITY,163.1320000,0.0003748,-0.0000654,0.0000141
MsgID.GLOBAL_POSITION,0.0000000,-122.3976932,37.7937036,0.0520000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,163.3820000,136.0432739,-21.2242584,-0.0712629
MsgID.LOCAL_VELOCITY,163.3820000,0.0003892,-0.0000845,-0.0000137
MsgID.GLOBAL_POSITION,0.0000000,-122.3976920,37.7937048,0.0710000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,163.6330000,135.9130096,-21.3501892,-0.0957764
MsgID.LOCAL_VELOCITY,163.6330000,0.0003762,-0.0000989,0.0000160
MsgID.GLOBAL_POSITION,0.0000000,-122.3976934,37.7937036,0.0950000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,163.8830000,135.7638397,-21.3426666,-0.1303487
MsgID.LOCAL_VELOCITY,163.8830000,0.0003690,0.0000175,-0.0000383
MsgID.GLOBAL_POSITION,0.0000000,-122.3976934,37.7937023,0.1300000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,164.1330000,135.8136139,-21.3810120,-0.1621026
MsgID.LOCAL_VELOCITY,164.1330000,0.0003558,-0.0000783,0.0000085
MsgID.GLOBAL_POSITION,0.0000000,-122.3976938,37.7937027,0.1620000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,164.3830000,136.0201416,-21.5161743,-0.1933408
MsgID.LOCAL_VELOCITY,164.3830000,0.0003683,-0.0000671,0.0000266
MsgID.GLOBAL_POSITION,0.0000000,-122.3976953,37.7937046,0.1930000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3976956,37.7937035,0.2100000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,164.6330000,135.8983765,-21.5403042,-0.2106420
MsgID.LOCAL_VELOCITY,164.6330000,0.0003571,-0.0000689,0.0000416
MsgID.GLOBAL_POSITION,0.0000000,-122.3976952,37.7937043,0.2140000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,164.8830000,135.9861145,-21.5040493,-0.2144591
MsgID.LOCAL_VELOCITY,164.8830000,0.0003622,-0.0000613,0.0000471
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3976943,37.7937045,0.2020000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,165.1350000,136.0139465,-21.4294930,-0.2022739
MsgID.LOCAL_VELOCITY,165.1350000,0.0003749,-0.0000709,0.0000164
MsgID.GLOBAL_POSITION,0.0000000,-122.3976921,37.7937030,0.1730000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,165.3850000,135.8378448,-21.2311096,-0.1733770
MsgID.LOCAL_VELOCITY,165.3850000,0.0003773,0.0000169,-0.0000377
MsgID.GLOBAL_POSITION,0.0000000,-122.3976931,37.7937029,0.1370000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,165.6370000,135.8315277,-21.3169060,-0.1373156
MsgID.LOCAL_VELOCITY,165.6370000,0.0003569,-0.0000781,0.0000240
MsgID.GLOBAL_POSITION,0.0000000,-122.3976951,37.7937033,0.0930000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,165.8870000,135.8789520,-21.4968491,-0.0939272
MsgID.LOCAL_VELOCITY,165.8870000,0.0002883,0.0005803,0.0000848
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,166.1400000,135.8917542,-21.4873562,-0.0561324
MsgID.LOCAL_VELOCITY,166.1400000,0.0003715,-0.0000681,0.0000303
MsgID.GLOBAL_POSITION,0.0000000,-122.3976950,37.7937034,0.0560000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,166.3900000,135.8917542,-21.4663963,-0.0272125
MsgID.LOCAL_VELOCITY,166.3900000,0.0003543,-0.0000774,0.0000203
MsgID.GLOBAL_POSITION,0.0000000,-122.3976948,37.7937034,0.0270000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,166.6410000,135.8917542,-21.4198990,-0.0120253
MsgID.LOCAL_VELOCITY,166.6410000,0.0003662,-0.0000663,0.0000394
MsgID.GLOBAL_POSITION,0.0000000,-122.3976942,37.7937034,0.0120000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3976925,37.7937036,0.0100000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,166.8910000,135.9040527,-21.2702808,-0.0108232
MsgID.LOCAL_VELOCITY,166.8910000,0.0003745,-0.0000739,0.0000310
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,167.1410000,136.0349274,-21.2607746,-0.0209771
MsgID.LOCAL_VELOCITY,167.1410000,0.0003638,0.0000158,-0.0000411
MsgID.GLOBAL_POSITION,0.0000000,-122.3976924,37.7937047,0.0200000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3976937,37.7937041,0.0380000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,167.3920000,135.9629211,-21.3693638,-0.0384260
MsgID.LOCAL_VELOCITY,167.3920000,0.0003787,-0.0000879,0.0000095
MsgID.GLOBAL_POSITION,0.0000000,-122.3976937,37.7937037,0.0590000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,167.6420000,135.9244232,-21.3705196,-0.0598892
MsgID.LOCAL_VELOCITY,167.6420000,0.0003479,-0.0000821,0.0000184
MsgID.GLOBAL_POSITION,0.0000000,-122.3976930,37.7937045,0.0830000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,167.8920000,136.0047913,-21.3109627,-0.0831443
MsgID.LOCAL_VELOCITY,167.8920000,0.0003635,-0.0000639,0.0000610
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3976916,37.7937042,0.1020000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,168.1420000,135.9759827,-21.1869545,-0.1026828
MsgID.LOCAL_VELOCITY,168.1420000,0.0003479,-0.0000611,0.0000352
MsgID.GLOBAL_POSITION,0.0000000,-122.3976929,37.7937051,0.1150000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,168.3920000,136.0714417,-21.3058949,-0.1154613
